record_id,race,education,income,utilitarian_rank,deontology_rank,virtue_rank,ethics_care_rank,contract_theory_rank,h_ethics_gains,h_ethics_loss,h_money_gains,h_money_loss,vac_ethics_gains,vac_ethics_loss,vac_money_gains,vac_money_loss,auc_ethics_gains,auc_ethics_loss,auc_money_gains,auc_money_loss
P1,White or Caucasian,Bachelor's degree,"$150,000 or more",2,3,4,5,1,0.125884312,0.583930005,4.486804503,6.092220054,0.892631165,0.841791153,0.872606049,0.507392456,0.3356,0.195,0.1787,0.2115
P2,White or Caucasian,"Some college, but no degree","$75,000-$99,999",1,2,3,4,5,0.061744602,0.664234269,2.329300413,8.908115234,0.952219752,0.791990559,0.768435201,-0.986189431,0.3911,0.2426,0.1992,0.1912
P3,White or Caucasian,Bachelor's degree,"Less than $25,000",1,5,2,4,3,0.439177081,0.401310794,1.726241125,2.409906564,0.910119413,0.980964568,0.909275037,0.357965869,0.2128,0.3735,0.2489,0.2659
P4,White or Caucasian,"Some college, but no degree","Less than $25,000",3,5,1,4,2,0.166925881,0.466121211,0.276862841,0.782085559,0.800686265,0.908935284,0.965459071,0.852830509,0.2873,0.407,0.5155,0.2143
P5,White or Caucasian,"Some college, but no degree","$25,000-$49,999",2,6,3,4,7,0.991070735,0.03337543,4.995601975,0.175804282,0.916747496,0.494098342,0.062043038,0.317497987,0.1556,0.7672,0.2276,0.5863
P6,White or Caucasian,Bachelor's degree,"$50,000-$74,999",1,5,2,4,3,0.16692588,1.27039121,0.846049572,0.86626208,0.800686265,0.932103665,0.974649765,0.981455937,0.2873,0.2582,0.3208,0.2747
P7,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000-$149,999",1,5,2,3,4,0.006646247,0.656395167,2.937612076,1.279787791,0.851076689,0.967571679,0.846342703,0.847934544,0.4714,0.3514,0.2342,0.2108
P8,White or Caucasian,"Some college, but no degree","Less than $25,000",,,,,,0.802890863,0.227283446,4.714201256,0.65282044,0.873754013,0.903174887,0.433108013,-0.168563855,0.1477,0.5145,0.2045,0.458
P9,White or Caucasian,Associates or technical degree,"$75,000-$99,999",1,3,5,4,2,0.210394739,0.388379859,3.48682983,1.331096255,0.808198882,0.949547953,0.964924963,0.878703624,0.2631,0.3873,0.1696,0.2852
P10,White or Caucasian,Bachelor's degree,"$100,000-$149,999",3,1,4,5,2,0.252389298,0.488113609,0.980663943,1.091760684,0.886450561,0.229700275,0.987181067,0.985617695,0.2453,0.532,0.2884,0.2772
P11,White or Caucasian,Associates or technical degree,"$50,000-$74,999",4,2,1,5,3,0.291291388,0.26087152,2.160372313,1.226625635,0.762151598,0.962120736,0.907807988,0.831267319,0.2257,0.3992,0.2133,0.2957
P12,"White or Caucasian,Black or African American",Bachelor's degree,"$75,000-$99,999",1,3,2,5,4,0.282767641,0.057867932,0.577448582,1.291485527,0.835279158,0.392927453,0.859732945,0.939431163,0.2279,0.3729,0.4233,0.2734
P13,Asian,Bachelor's degree,"$75,000-$99,999",5,1,2,3,4,0.107468455,0.614753902,0.039116358,2.577282469,0.70793968,0.88781724,0.938817678,0.805517876,0.367,0.2604,0.8582,0.2425
P14,Black or African American,Associates or technical degree,"$75,000-$99,999",3,2,1,4,5,1.996924861,0.269924653,1.838880441,0.770073957,0.905593721,0.772723849,0.944289761,0.94265246,0.1246,0.458,0.1099,0.257
P15,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",1,5,4,2,3,1.151769072,0.384313153,3.187733371,1.009781488,0.96265267,0.838281305,0.426212186,0.148639837,0.1432,0.4425,0.2476,0.3843
P16,White or Caucasian,Bachelor's degree,"Less than $25,000",4,5,1,6,7,0.20904052,0.735031741,1.036198379,0.964679017,0.683572287,0.933135654,0.700669802,0.915444292,0.2739,0.2444,0.364,0.3401
P17,Black or African American,Bachelor's degree,"$50,000-$74,999",2,3,4,5,1,0.273603034,0.583263042,0.8677197,1.179051502,0.525603086,0.941454079,0.739050278,0.967586916,0.2281,0.335,0.3411,0.2372
P18,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",5,7,3,9,8,0.255396127,2.356056707,1.975656985,0.902774428,0.86351211,0.919960685,0.739052044,0.959556906,0.2421,0.2152,0.2779,0.2818
P19,White or Caucasian,Bachelor's degree,"$150,000 or more",2,1,3,4,5,0.161842133,6.791582952,43.15219213,1.377340514,0.273321127,0.819007792,-0.369558089,0.946355978,0.2634,0.0803,0.0627,0.1917
P20,White or Caucasian,Bachelor's degree,"$50,000-$74,999",1,5,2,4,3,0.101860379,0.048861011,1.582373164,0.813467652,0.870603727,-1.372772256,-1.204132042,0.059871499,0.3584,0.5579,0.383,0.3998
P21,White or Caucasian,"Some college, but no degree",Prefer not to say,1,2,5,4,3,0.157481158,0.39035558,0.990232213,1.877302186,0.838320967,0.862249116,0.959647428,0.911461523,0.3146,0.4391,0.266,0.1232
P22,White or Caucasian,Bachelor's degree,"$50,000-$74,999",2,6,3,5,4,0.0073053,0.3951316,0.4153214,2.4174973,-0.117241,0.886837,0.469756,0.61108,0.4399,0.4509,0.458,0.2741
P23,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000-$74,999",1,5,2,3,4,0.229552085,0.799987682,3.842575536,5.07283336,0.896124668,0.976487009,0.884851077,-0.366112644,0.259,0.2811,0.2049,0.1832
P24,"White or Caucasian,Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000-$149,999",1,5,2,4,3,0.135474767,2.739851186,8.45084236,5.605334702,0.450388416,0.97110738,0.101899207,0.911796431,0.3021,0.1074,0.1723,0.0915
P25,"White or Caucasian,Black or African American",Bachelor's degree,"$100,000-$149,999",1,2,4,5,3,0.237560265,0.41528521,1.503839639,0.488480098,0.842727873,0.990385322,0.841070525,0.958531676,0.2499,0.4058,0.2942,0.371
P26,Other,Associates or technical degree,"$150,000 or more",1,5,2,3,4,0.252389298,1.234683016,4.536406483,0.518935545,0.886450561,0.951763902,0.819055895,-0.704413249,0.2453,0.164,0.1635,0.4483
P27,Asian,High school diploma or GED,"$75,000-$99,999",5,1,2,3,4,0.254221761,1.152482077,1.217942275,0.578709526,0.87206208,0.972520125,0.85237986,0.567724893,0.244,0.2518,0.328,0.4483
P28,White or Caucasian,Bachelor's degree,"$25,000-$49,999",2,1,3,5,4,0.222151508,0.695171273,1.874081579,0.626196462,0.816633278,0.920781333,0.740998308,0.933424436,0.2701,0.3319,0.2706,0.3938
P29,White or Caucasian,"Some college, but no degree","Less than $25,000",3,8,1,9,6,1.1131407,0.542601363,1.194552872,0.687285702,0.492185744,0.951568408,0.927800236,0.921985,0.3521,0.3274,0.3083,0.3425
P30,White or Caucasian,"Some college, but no degree","$25,000-$49,999",1,2,4,5,3,0.129114781,1.630008828,2.069407154,4.283929832,0.923472355,0.958705545,-1.586265536,0.885837144,0.3322,0.2158,0.2954,0.1697
P31,Asian,"Some college, but no degree","$150,000 or more",1,3,5,2,4,0.449315563,1.310281339,8.042943976,6.731346304,0.95565391,0.925634139,0.899922076,0.881743388,0.1875,0.1354,0.1109,0.0913
P32,Asian,Bachelor's degree,"$75,000-$99,999",1,4,5,2,3,0.317782699,0.574711401,2.919959044,0.463852561,0.899767807,0.972676154,0.98577085,0.960236802,0.245,0.3555,0.1659,0.4128
P33,White or Caucasian,"Some college, but no degree","$25,000-$49,999",2,4,8,5,9,0.331135547,0.616923674,1.03643683,53.38720607,0.507701597,0.949885483,0.98329761,-1.751864684,0.2322,0.2415,0.2838,0.0939
P34,Asian,Bachelor's degree,"$150,000 or more",1,5,4,3,2,0.252389298,0.558968743,2.506425569,1.079679724,0.886450561,0.838296193,0.929252569,0.97895333,0.2453,0.3715,0.2161,0.2655
P35,White or Caucasian,"Some college, but no degree","$25,000-$49,999",4,1,2,5,3,0.599229504,0.691276132,0.298452567,1.801133079,0.815556642,0.893724923,0.675298235,0.811931222,0.1219,0.2453,0.526,0.1253
P36,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$25,000-$49,999",2,3,1,5,4,0.648991874,0.816401674,19.03305215,1.131244263,0.421769995,0.764088693,-0.275652949,0.886355235,0.1764,0.3573,0.1149,0.3052
P37,White or Caucasian,Associates or technical degree,"$75,000-$99,999",1,3,2,5,4,0.453503098,1.386201942,1.578339235,2.2408764,0.666762967,0.600266417,0.966877106,0.986877463,0.4746,0.2782,0.1671,0.169
P38,White or Caucasian,High school diploma or GED,"$50,000-$74,999",1,5,2,3,4,0.229552085,0.233597696,0.749182216,0.76214181,0.896124668,0.963344265,0.970266431,0.843655992,0.259,0.5304,0.3135,0.3464
P39,"White or Caucasian,Asian",High school diploma or GED,"$50,000-$74,999",2,1,4,5,3,0.498741944,0.21534361,1.228795544,0.803904492,0.936838866,0.597437308,0.180179674,0.991468707,0.1803,0.5452,0.2601,0.3134